,total_utility_bill,commission,sex,age,car,marital_status,child,citizenthip
50,49.56,3.36,1,1,0,1,0,2
51,39.86,5.7,1,0,0,0,2,1
52,32.69,9.17,0,1,0,1,2,0
53,4.49,7.58,0,0,0,1,3,0
54,8.09,5.21,1,0,0,1,0,0
55,42.57,6.29,1,1,0,1,3,3
56,17.28,1.73,0,1,0,1,3,0
57,48.69,1.71,0,0,0,1,3,1
58,27.25,7.33,1,1,0,1,0,2
59,5.08,6.17,0,1,0,0,0,0
60,7.45,3.2,0,1,0,0,0,3
61,24.01,1.35,0,1,0,0,1,3
62,22.62,1.4,0,0,1,1,3,3
63,4.08,8.01,1,0,1,0,3,0
64,5.67,7.15,0,0,1,0,2,2
65,42.24,8.29,0,1,1,1,2,0
66,29.88,3.79,1,1,1,0,2,1
67,47.61,9.1,1,0,1,1,0,2
68,24.06,7.42,0,1,1,1,0,2
69,3.62,7.87,1,0,1,1,1,2
70,1.76,7.81,1,1,1,1,2,0
71,22.95,2.54,1,1,1,0,0,1
72,34.43,4.82,0,1,0,1,1,0
73,37.24,6.54,0,0,1,0,0,3
74,43.25,8.04,0,0,1,1,2,2
75,16.17,3.45,0,0,1,1,2,2
76,18.29,9.36,0,0,1,0,1,0
77,5.66,2.25,1,0,0,0,3,0
78,13.18,3.39,0,0,1,1,1,1
79,24.49,6.82,0,1,1,1,0,2
80,38.54,3.62,1,1,1,1,0,1
81,20.81,4.87,1,1,0,1,2,1
82,18.9,1.95,0,0,0,0,0,0
83,44.86,7.6,0,0,1,1,0,0
84,24.07,3.85,0,1,0,1,0,2
85,11.78,1.32,1,0,1,1,3,2
86,10.04,9.7,0,0,1,0,2,0
87,9.35,9.29,0,1,0,1,1,2
88,29.68,3.07,1,1,0,1,3,0
89,37.41,9.65,1,1,1,1,0,3
90,32.15,7.48,0,0,0,1,0,0
91,8.0,9.24,0,0,1,1,0,0
92,13.49,2.7,1,1,0,1,3,0
93,27.79,3.25,0,1,0,1,1,1
94,35.36,2.24,1,1,1,0,1,0
95,33.27,9.98,0,1,1,1,1,1
96,36.63,5.83,1,0,0,0,3,3
97,33.84,4.81,0,1,0,0,1,3
98,45.86,3.2,0,1,1,0,3,2
99,25.15,5.11,0,1,0,1,2,1
100,29.94,9.01,0,0,1,0,0,0
101,46.72,3.14,0,1,0,0,1,0
102,36.44,2.22,0,1,0,1,3,3
103,28.53,8.94,1,0,0,1,1,2
104,24.99,1.7,0,0,0,0,1,0
105,47.91,9.74,1,0,0,1,1,2
106,17.98,1.77,0,1,0,1,2,2
107,40.22,4.59,0,1,1,1,0,3
108,32.35,9.96,0,0,1,1,0,0
109,22.27,8.15,0,1,0,0,3,2
110,18.78,2.2,0,0,1,0,2,2
111,26.48,8.19,0,0,1,0,1,3
112,33.96,7.41,1,1,0,1,2,1
113,46.11,3.43,1,0,0,0,1,1
114,47.71,4.17,1,0,1,0,3,3
115,11.05,9.63,1,0,1,1,3,0
116,22.86,3.22,1,0,1,1,1,3
117,33.28,9.72,0,0,1,1,0,1
118,6.54,6.75,1,1,1,1,0,0
119,8.52,8.73,1,1,1,0,0,3
120,28.27,4.34,0,0,0,0,2,1
121,29.8,1.7,1,1,0,1,1,3
122,40.98,6.39,1,0,0,0,0,3
123,43.55,3.83,0,0,1,1,0,1
124,14.42,2.82,1,1,1,0,1,2
125,20.66,1.06,0,0,1,0,1,2
126,4.05,5.75,1,0,1,0,1,1
127,14.78,7.19,1,0,1,1,0,3
128,10.96,7.39,0,1,0,1,1,0
129,8.27,7.95,1,0,1,1,1,0
130,23.51,1.45,1,0,1,0,2,1
131,31.86,8.38,1,1,1,1,0,1
132,42.59,6.92,0,1,1,0,2,0
133,25.4,5.88,0,0,0,0,1,3
134,37.91,4.89,0,0,0,1,3,2
135,32.64,6.16,1,1,1,0,0,3
136,35.5,9.0,1,1,1,1,2,3
137,8.41,1.45,1,0,1,0,2,0
138,42.68,3.57,0,1,1,1,0,2
139,49.28,5.23,0,0,0,1,2,2
140,29.58,7.45,0,0,1,1,2,2
141,24.39,4.37,0,0,0,1,2,3
142,16.13,9.75,1,0,0,0,3,3
143,38.47,6.18,1,1,1,0,1,3
144,9.77,2.56,0,0,0,1,2,2
145,43.32,6.59,1,0,0,1,0,3
146,42.07,8.15,0,0,1,1,3,2
147,35.5,6.62,1,0,0,1,2,3
148,44.04,8.48,1,1,0,1,0,1
149,2.79,7.5,1,1,1,0,1,0
150,33.22,1.81,1,1,1,0,1,2
151,42.59,7.43,1,0,1,0,2,0
152,20.9,9.15,0,0,1,0,2,2
153,24.19,8.8,1,1,1,0,0,1
154,46.58,2.08,1,1,0,1,1,3
155,11.79,4.27,1,1,0,0,3,1
156,23.07,3.74,1,1,1,1,0,1
157,46.77,5.45,0,0,0,1,2,0
158,27.5,8.52,1,0,1,0,1,2
159,30.85,9.79,0,0,1,1,1,0
160,46.42,10.0,1,1,1,1,3,3
161,1.42,6.4,1,1,0,1,0,0
162,31.04,4.88,1,0,0,0,1,0
163,20.92,3.51,0,1,0,0,0,0
164,9.66,9.07,1,0,0,0,0,0
165,15.85,8.31,0,1,1,0,0,2
166,9.34,2.99,0,0,0,0,0,2
167,48.8,3.77,0,1,0,1,3,3
168,16.28,6.31,0,1,1,0,3,3
169,16.91,7.13,1,0,1,1,1,3
170,39.08,8.0,1,0,1,0,0,0
171,5.28,9.61,1,0,1,1,1,3
172,18.36,3.69,0,1,1,1,3,2
173,14.79,6.47,0,0,1,0,2,2
174,35.65,5.84,1,0,1,1,0,0
175,44.23,8.94,0,1,0,0,3,3
176,26.7,9.98,0,0,0,0,1,2
177,4.05,9.51,1,1,1,0,1,2
178,5.43,2.58,0,1,0,1,3,0
179,3.92,3.43,1,1,0,1,0,0
180,18.86,7.05,0,0,1,0,2,3
181,19.56,9.65,1,0,1,1,0,1
182,17.39,2.33,1,1,0,1,1,0
183,19.16,3.62,1,1,1,1,2,2
184,25.26,2.73,1,0,0,1,1,0
185,38.86,9.86,0,1,0,1,2,3
186,1.65,1.02,1,0,0,0,0,1
187,26.02,3.89,1,1,0,0,2,0
188,41.81,3.98,0,0,1,1,1,1
189,46.44,2.86,0,0,1,0,2,3
190,48.15,4.8,0,0,1,0,2,0
191,8.02,7.49,0,1,1,0,0,1
192,41.55,1.07,0,0,1,0,0,0
193,40.89,1.31,1,1,0,0,3,1
194,25.48,1.1,0,1,0,1,3,2
195,4.42,7.41,0,1,0,0,1,1
196,45.92,5.59,0,0,0,0,1,2
197,1.22,8.94,1,1,1,1,3,2
198,40.05,9.51,0,1,0,0,1,0
199,10.65,5.12,0,1,1,0,3,0
200,29.32,2.23,0,0,1,1,2,0
201,41.85,9.68,1,1,1,1,2,3
202,6.56,5.78,0,1,1,0,3,3
203,8.29,3.52,1,0,1,0,2,3
204,47.74,8.97,0,0,0,1,1,3
205,12.13,7.73,0,0,1,1,1,2
206,29.55,3.46,0,0,1,0,0,3
207,22.86,5.29,0,0,1,0,2,1
208,33.05,7.48,0,0,1,1,3,3
209,24.0,1.46,0,0,0,1,0,3
210,24.98,6.37,1,1,1,1,3,1
211,3.2,5.85,0,0,0,1,2,3
212,16.97,8.39,0,0,0,1,0,1
213,42.91,6.97,0,0,1,0,0,1
214,13.05,5.29,1,1,0,0,0,1
215,26.47,9.54,0,0,1,1,3,2
216,17.11,5.73,1,1,1,0,3,3
217,6.88,9.85,1,1,0,0,3,0
218,49.81,6.67,0,0,1,1,3,1
219,8.31,9.4,0,0,0,1,1,3
220,7.16,1.11,0,0,1,0,0,2
221,15.45,1.68,0,1,1,0,2,3
222,22.08,3.28,0,1,0,1,0,0
223,41.45,4.82,0,1,1,0,2,3
224,49.54,5.9,1,0,1,0,3,2
225,40.01,4.48,1,1,1,1,0,3
226,6.06,6.35,1,0,0,0,1,2
227,48.56,5.0,0,1,1,0,2,2
228,17.29,8.68,1,0,0,0,1,1
229,47.48,2.37,1,0,1,1,2,1
230,6.12,9.05,1,1,1,1,2,3
231,11.14,5.03,1,1,1,1,2,3
232,21.51,6.14,0,1,1,0,0,0
233,33.89,4.39,0,0,0,1,0,3
234,25.02,3.55,0,1,1,0,0,3
235,9.4,4.37,1,1,0,1,2,3
236,37.02,8.36,0,0,1,1,2,1
237,18.33,5.71,1,0,0,1,1,3
238,38.64,5.66,1,1,1,0,2,2
239,40.49,5.64,0,0,1,0,3,0
240,41.69,8.55,0,1,1,1,0,2
241,21.46,9.83,0,1,0,0,3,0
242,46.16,8.2,1,1,0,0,3,3
243,30.29,2.37,1,0,0,1,1,2
244,4.55,8.9,1,0,0,0,3,3
245,28.5,8.9,1,1,1,0,0,2
246,37.18,6.17,0,0,1,1,3,0
247,3.36,8.94,1,0,1,0,3,3
248,36.7,6.38,0,1,0,0,3,0
249,16.3,8.98,1,0,0,0,1,2
250,23.79,5.48,0,1,1,1,0,0
251,5.31,4.52,1,0,0,0,3,2
252,3.85,3.35,0,0,0,1,1,3
253,14.92,5.99,1,0,0,1,3,2
254,41.4,8.84,0,1,1,0,0,1
255,20.41,3.0,1,1,1,0,3,1
256,39.77,9.37,0,0,1,1,0,3
257,43.84,6.23,1,0,1,1,0,2
258,39.38,5.41,0,0,1,0,0,1
259,30.05,4.47,1,1,0,1,2,2
260,38.55,5.97,0,1,1,1,3,2
261,29.03,8.03,1,0,1,0,3,3
262,27.89,3.95,1,0,1,0,2,3
263,16.9,7.98,0,0,1,1,2,1
264,32.43,1.74,0,0,1,0,2,2
265,28.54,2.0,0,0,1,0,3,1
266,12.21,4.34,1,0,0,0,1,2
267,1.86,3.24,0,0,0,0,3,0
268,34.77,7.86,1,0,0,0,1,1
269,32.31,9.8,1,0,0,0,1,2
270,18.09,7.01,1,1,1,1,0,0
271,17.9,1.08,0,1,0,1,3,0
272,4.64,8.15,1,1,0,0,3,0
273,29.97,4.74,0,0,0,0,3,2
274,18.36,3.87,0,1,1,0,2,2
275,11.92,7.0,1,0,1,0,1,3
276,47.44,2.67,0,0,0,0,1,1
277,11.63,8.66,0,0,1,0,2,3
278,44.45,9.02,1,1,1,1,0,2
279,2.22,4.8,1,1,0,1,1,1
280,19.35,2.36,0,1,0,0,3,1
281,45.49,6.59,0,0,0,0,1,3
282,49.03,3.55,1,1,1,0,1,1
283,37.15,7.36,0,1,1,0,1,0
284,23.09,9.55,1,0,1,1,2,2
285,21.71,2.17,1,0,0,1,0,2
286,29.16,9.4,0,0,0,0,3,3
287,30.22,7.1,1,0,0,0,3,3
288,49.02,1.97,0,0,1,1,1,0
289,26.21,6.45,0,1,1,0,1,0
290,22.78,5.5,1,1,0,1,0,1
291,36.23,4.47,0,1,0,0,0,1
292,17.38,7.22,0,1,0,1,3,2
293,11.51,3.07,1,0,1,0,3,0
294,3.7,5.9,0,1,1,0,2,2
295,35.07,3.93,0,1,0,0,3,1
296,36.75,9.24,1,1,1,0,1,3
297,13.46,7.37,1,0,0,1,3,1
298,2.52,6.75,0,0,0,1,3,0
299,32.17,6.04,1,0,0,0,2,1
300,48.0,8.83,1,1,0,1,2,1
301,27.53,9.07,1,0,1,1,0,1
302,20.76,9.76,1,1,0,1,0,2
303,7.95,8.93,0,0,0,0,1,3
304,26.83,5.36,0,0,1,1,0,1
305,5.89,5.63,0,1,1,0,2,2
306,42.74,2.62,1,1,1,0,2,3
307,42.11,3.13,1,0,1,0,0,2
308,10.86,5.57,0,1,1,1,1,2
309,11.89,3.62,0,1,1,0,0,2
310,21.25,9.74,0,1,0,0,0,1
311,34.22,8.57,0,0,1,1,2,1
312,21.99,1.86,1,1,1,0,1,1
313,22.96,4.68,1,1,1,0,2,2
314,37.11,6.98,1,1,1,1,1,2
315,49.8,4.94,0,1,0,0,1,1
316,33.26,5.39,0,1,1,1,1,2
317,32.63,5.78,1,1,0,0,1,0
318,45.89,7.89,0,0,0,1,0,2
319,42.78,5.62,0,1,1,1,3,0
320,3.04,8.88,1,1,0,0,2,3
321,41.18,5.72,0,0,1,1,3,3
322,44.07,9.69,1,1,1,1,1,0
323,11.64,5.74,0,1,1,0,3,2
324,28.0,8.83,1,1,1,1,1,2
325,45.72,1.36,1,1,1,0,3,2
326,13.99,1.85,0,1,1,1,0,3
327,42.32,3.21,1,1,0,1,2,0
328,32.48,5.56,0,1,0,0,0,0
329,34.1,3.87,0,0,0,1,1,2
330,7.71,5.53,1,1,1,0,3,0
331,49.94,5.98,1,1,1,0,3,0
332,19.67,3.72,1,0,1,1,3,1
333,28.23,6.68,1,0,0,0,2,0
334,14.97,5.17,0,0,0,1,0,0
335,18.63,1.82,1,0,1,0,3,2
336,22.27,2.62,1,1,1,0,3,0
337,11.82,6.49,0,1,1,0,2,1
338,46.81,7.44,1,0,1,1,3,2
339,41.3,5.13,1,1,0,1,0,3
340,47.74,2.51,1,1,0,0,3,0
341,41.0,2.04,1,1,1,1,2,1
342,7.48,8.98,0,0,1,0,3,3
343,3.21,9.86,0,0,0,1,3,1
344,18.11,3.9,1,0,1,1,3,2
345,15.05,6.1,1,1,1,0,3,2
346,18.89,8.03,1,1,1,0,2,2
347,9.37,8.67,0,0,0,0,0,1
348,47.22,1.47,0,1,1,0,0,0
349,2.49,1.9,0,1,0,0,2,2
350,27.17,6.48,0,0,1,1,3,2
351,47.52,3.76,0,1,1,0,0,0
352,34.85,5.81,0,0,1,0,1,0
353,1.16,7.17,0,1,0,1,3,3
354,7.42,7.72,0,0,0,1,3,3
355,21.95,3.99,0,1,0,0,2,0
356,1.98,9.09,0,0,0,1,1,1
357,24.48,4.88,0,1,1,0,1,1
358,2.95,8.24,1,1,0,1,3,1
359,34.01,5.13,1,1,1,0,0,3
360,35.21,7.92,1,0,0,1,1,0
361,40.93,4.07,1,0,0,0,2,0
362,28.95,6.87,1,0,0,0,0,0
363,38.97,6.43,0,1,0,0,1,0
364,40.27,4.13,0,1,1,0,0,2
365,44.76,7.08,0,1,1,1,3,2
366,48.88,5.92,0,0,1,1,0,3
367,28.53,8.0,0,1,0,0,0,0
368,12.97,5.6,0,0,1,0,3,1
369,14.76,3.46,0,1,0,0,2,0
370,38.2,6.54,0,1,1,0,2,1
371,6.45,3.97,0,0,1,1,2,3
372,38.66,6.3,1,0,0,0,0,0
373,32.42,3.82,0,0,0,0,1,0
374,36.19,9.08,0,0,1,0,1,3
375,31.2,2.54,1,1,1,1,3,3
376,15.46,2.17,0,1,1,1,3,2
377,7.04,9.12,1,0,0,1,3,0
378,49.46,6.46,0,1,0,0,1,2
379,15.63,3.91,0,1,1,1,1,2
380,35.68,2.85,0,0,0,1,1,0
381,4.5,9.08,0,0,1,1,0,0
382,36.65,5.36,0,1,0,0,3,0
383,33.46,6.7,0,0,0,1,3,1
384,36.89,5.48,1,1,1,1,1,2
385,5.88,6.92,1,0,1,0,3,2
386,3.12,2.07,0,0,0,1,0,3
387,16.19,3.53,1,1,0,1,3,1
388,22.79,8.2,0,1,0,0,0,0
389,41.27,6.83,1,1,1,0,0,1
390,45.99,5.89,0,1,0,1,1,1
391,47.26,4.27,1,1,0,0,3,2
392,11.94,8.27,1,1,0,0,1,3
393,3.94,1.99,1,1,0,0,3,1
394,7.67,7.78,1,1,1,1,1,0
395,12.35,4.29,1,0,0,1,3,1
396,21.91,2.66,1,0,0,1,0,1
397,39.7,1.69,0,0,0,1,1,1
398,7.38,9.45,0,1,1,1,2,3
399,35.18,3.39,1,0,1,1,3,2
400,4.83,1.42,1,0,1,1,2,3
401,48.12,7.11,1,0,1,1,1,0
402,2.86,6.46,1,1,0,1,1,1
403,37.92,5.54,0,1,1,0,3,0
404,39.4,4.54,1,0,1,1,1,1
405,34.27,8.73,0,1,1,1,2,1
406,32.41,1.21,0,1,1,1,0,1
407,10.93,6.61,0,1,0,1,1,0
408,35.0,6.18,0,1,1,0,1,3
409,20.64,9.68,1,1,1,1,3,1
410,29.43,2.8,0,1,0,1,1,2
411,37.45,9.42,0,1,1,1,0,2
412,28.41,7.82,1,0,1,0,0,0
413,4.04,6.41,0,0,1,1,2,3
414,10.5,7.73,0,0,0,1,2,1
415,34.76,5.87,0,0,0,0,0,1
416,14.33,6.48,0,0,1,0,3,0
417,8.54,7.11,0,1,1,0,0,0
418,5.21,7.27,1,1,1,1,2,0
419,30.36,2.11,1,1,1,0,1,1
420,9.13,7.07,0,1,1,1,0,1
421,15.41,4.66,1,0,1,0,2,1
422,24.19,4.9,1,0,0,0,2,3
423,30.25,6.34,1,1,0,1,3,0
424,8.43,2.27,1,1,0,0,1,1
425,18.55,4.68,0,1,1,1,0,1
426,48.61,1.27,0,1,1,1,0,3
427,42.86,7.9,1,1,1,0,2,3
428,19.05,5.35,0,0,1,1,3,2
429,16.99,6.14,1,1,1,0,0,1
430,28.51,8.56,0,0,1,1,0,0
431,21.96,5.19,0,1,1,0,1,1
432,10.15,5.52,0,0,1,0,2,1
433,26.88,5.71,1,0,1,0,2,0
434,31.04,2.19,0,1,1,0,3,0
435,6.87,8.62,0,1,1,0,2,2
436,14.72,4.25,1,0,0,0,3,0
437,34.99,6.53,1,1,1,0,0,0
438,1.22,5.84,1,0,0,0,3,0
439,24.23,1.82,0,0,0,0,1,3
440,36.38,2.4,0,1,0,0,2,0
441,1.33,5.3,1,1,1,0,0,0
442,6.6,1.16,1,1,0,0,1,1
443,47.49,3.14,1,1,0,1,3,3
444,23.38,5.1,0,0,1,1,3,1
445,40.37,2.88,0,1,0,1,2,3
446,39.25,2.13,0,1,1,0,1,1
447,48.94,6.89,0,1,0,1,1,1
448,47.72,5.04,0,1,1,1,2,1
449,13.66,7.82,0,1,0,1,2,0
450,22.58,8.77,1,1,0,1,2,2
451,12.84,7.85,1,1,1,0,3,2
452,24.1,5.89,0,0,0,1,1,2
453,34.77,1.44,0,1,0,0,3,0
454,42.17,6.98,0,1,0,1,1,0
455,33.38,8.87,1,0,0,1,3,2
456,21.37,9.57,1,1,1,0,2,0
457,21.25,1.11,0,1,0,0,0,0
458,18.85,4.41,1,0,1,0,1,0
459,21.3,4.35,1,0,1,0,1,0
460,33.03,7.27,1,1,1,0,3,0
461,43.29,8.41,1,0,1,1,1,2
462,40.92,3.35,1,1,1,0,3,0
463,34.73,8.41,1,1,1,0,3,2
464,27.26,9.88,0,0,0,0,2,3
465,39.49,8.14,0,1,0,1,2,1
466,20.19,7.26,0,0,0,0,0,3
467,41.23,8.94,1,0,0,1,1,0
468,41.48,2.99,0,1,0,0,1,2
469,33.94,5.12,1,0,1,1,1,2
470,2.46,4.8,0,1,1,1,1,3
471,32.96,8.39,0,1,1,1,0,1
472,15.09,7.27,1,1,0,1,2,1
473,31.36,9.14,0,1,1,1,0,3
474,25.26,9.06,0,0,1,0,3,1
475,32.58,2.54,1,1,0,0,1,3
476,20.66,4.03,0,1,0,1,3,0
477,37.11,1.46,0,0,1,1,2,3
478,20.52,9.83,0,1,0,0,3,0
479,27.66,1.48,0,0,0,0,3,3
480,6.95,6.22,0,1,1,0,1,2
481,10.53,1.93,1,0,0,1,3,2
482,35.67,7.33,1,1,0,1,3,0
483,27.76,6.81,0,0,0,0,2,2
484,46.25,1.9,0,1,0,0,2,1
485,43.73,7.37,1,0,0,1,1,1
486,35.67,6.77,0,1,1,1,3,1
487,41.76,6.14,1,1,1,1,0,1
488,34.89,1.16,0,0,1,1,3,1
489,12.11,9.51,1,1,0,1,2,2
490,45.1,4.1,0,1,0,0,0,2
491,24.9,9.7,0,1,0,1,0,0
492,38.76,6.18,1,0,1,1,3,3
493,41.18,4.04,0,1,1,1,1,3
494,44.78,2.28,1,1,0,1,1,2
495,37.85,7.09,0,0,1,1,3,1
496,1.79,1.87,1,1,1,1,3,0
497,48.75,5.2,1,0,0,1,3,2
498,38.97,4.08,1,1,0,1,2,3
499,37.27,6.2,0,0,0,1,2,0
500,36.65,8.26,1,0,0,0,3,3
501,14.66,8.35,0,0,0,0,1,3
502,45.82,6.63,1,1,0,0,3,1
503,13.05,9.1,1,1,1,0,2,2
504,14.6,8.05,1,0,1,0,0,3
505,9.09,5.6,0,1,1,1,2,0
506,14.1,2.77,0,1,1,0,3,3
507,30.83,1.23,1,1,1,1,0,1
508,39.86,9.18,1,1,0,1,2,2
509,11.93,7.62,0,0,1,0,3,3
510,16.76,8.77,1,0,0,1,3,1
511,46.36,1.05,1,0,1,0,3,1
